Number,Number Text,Name,ROD Name,Cost,Duelist Level,Alignment,Type,Card Level,ATK,DEF,Password,Status,Kind,Image
287,287,Ogre of the Black Shadow,,161,161,Fiend,Beast-Warrior,4,1200,1400,45121025,Unlimited,monster,
288,288,Darkfire Soldier #2,,233,233,Fire,Pyro,4,1700,1100,78861134,Unlimited,monster,
289,289,Change Slime,,22,22,Water,Aqua,1,400,300,18914778,Unlimited,monster,
290,290,Moon Envoy,,103,103,Light,Warrior,4,1100,1000,45909477,Unlimited,monster,
291,291,Fireyarou,,140,140,Fire,Pyro,4,1300,1000,71407486,Unlimited,monster,
292,292,Kiseitai,,59,59,Dark,Fiend,2,300,800,04266839,Unlimited,monster,
293,293,Masaki the Legendary Swordsman,,103,103,Light,Warrior,4,1100,1100,44287299,Unlimited,monster,
294,294,Dragoness the Wicked Knight,,121,121,Wind,Warrior,3,1200,900,70681994,Unlimited,monster,
295,295,Cyber Falcon,,161,161,Wind,Machine,4,1400,1200,30655537,Unlimited,monster,
296,296,One-Eyed Shield Dragon,,140,140,Wind,Dragon,3,700,1300,33064647,Unlimited,monster,
297,297,The Winged Dragon of Ra (Sphere Mode),,0,0,Divine,Machine,12,0,0,,Unlimited,monster,
298,298,Wicked Dragon with the Ersatz Head,,72,72,Fiend,Dragon,3,900,900,02957055,Unlimited,monster,
299,299,Sonic Maid,,121,121,Light,Warrior,3,1200,900,38942059,Unlimited,monster,
300,300,Kurama,,59,59,Wind,Winged Beast,3,800,800,85705804,Unlimited,monster,
301,301,Legendary Sword,,100,100,,Magic,,,,61854111,Unlimited,spelltrap,
302,302,Sword of Dark Destruction,,100,100,,Magic,,,,37120512,Unlimited,spelltrap,
303,303,Dark Energy,,100,100,,Magic,,,,04614116,Unlimited,spelltrap,
304,304,Axe of Despair,,100,100,,Magic,,,,40619825,Unlimited,spelltrap,
305,305,Laser Cannon Armor,,100,100,,Magic,,,,77007920,Unlimited,spelltrap,
306,306,Insect Armor with Laser Cannon,,100,100,,Magic,,,,03492538,Unlimited,spelltrap,
307,307,Elf's Light,,100,100,,Magic,,,,39897277,Unlimited,spelltrap,
308,308,Beast Fangs,,100,100,,Magic,,,,46009906,Unlimited,spelltrap,
309,309,Steel Shell,,100,100,,Magic,,,,02370081,Unlimited,spelltrap,
310,310,Vile Germs,,100,100,,Magic,,,,39774685,Unlimited,spelltrap,
311,311,Black Pendant,,100,100,,Magic,,,,65169794,Unlimited,spelltrap,
312,312,Silver Bow and Arrow,,100,100,,Magic,,,,01557499,Unlimited,spelltrap,
313,313,Horn of Light,,100,100,,Magic,,,,38552107,Unlimited,spelltrap,
314,314,Horn of the Unicorn,,100,100,,Magic,,,,64047146,Unlimited,spelltrap,
315,315,Dragon Treasure,,100,100,,Magic,,,,01435851,Unlimited,spelltrap,
316,316,Electro-Whip,,100,100,,Magic,,,,37820550,Unlimited,spelltrap,
317,317,Cyber Shield,,100,100,,Magic,,,,63224564,Unlimited,spelltrap,
318,318,Elegant Egotist,,2,2,,Magic,,,,90219263,Unlimited,spelltrap,
319,319,Mystical Moon,,100,100,,Magic,,,,36607978,Unlimited,spelltrap,
320,320,Stop Defense,,10,10,,Magic,,,,63102017,Unlimited,spelltrap,
321,321,Malevolent Nuzzler,,100,100,,Magic,,,,99597615,Unlimited,spelltrap,
322,322,Violet Crystal,,100,100,,Magic,,,,15052462,Unlimited,spelltrap,
323,323,Book of Secret Arts,,100,100,,Magic,,,,91595718,Unlimited,spelltrap,
324,324,Invigoration,,100,100,,Magic,,,,98374133,Unlimited,spelltrap,
325,325,Machine Conversion Factory,,100,100,,Magic,,,,25769732,Unlimited,spelltrap,
326,326,Raise Body Heat,,100,100,,Magic,,,,51267887,Unlimited,spelltrap,
327,327,Follow Wind,,100,100,,Magic,,,,98252586,Unlimited,spelltrap,
328,328,Power of Kaishin,,100,100,,Magic,,,,77027445,Unlimited,spelltrap,
329,329,Dragon Capture Jar,,15,15,,Trap,,,,50045299,Unlimited,spelltrap,
330,330,Forest,,40,40,,Magic,,,,87430998,Unlimited,spelltrap,
331,331,Wasteland,,40,40,,Magic,,,,23424603,Unlimited,spelltrap,
332,332,Mountain,,40,40,,Magic,,,,50913601,Unlimited,spelltrap,
333,333,Sogen,,40,40,,Magic,,,,86318356,Unlimited,spelltrap,
334,334,Umi,,40,40,,Magic,,,,22702055,Unlimited,spelltrap,
335,335,Yami,,40,40,,Magic,,,,59197169,Unlimited,spelltrap,
336,336,Dark Hole,,100,100,,Magic,,,,53129443,Unlimited,spelltrap,
337,337,Raigeki,,150,150,,Magic,,,,12580477,Unlimited,spelltrap,
338,338,Mooyan Curry,,0,0,,Magic,,,,58074572,Unlimited,spelltrap,
339,339,Red Medicine,,5,5,,Magic,,,,38199696,Unlimited,spelltrap,
340,340,Goblin's Secret Remedy,,15,15,,Magic,,,,11868825,Unlimited,spelltrap,
341,341,Soul of the Pure,,50,50,,Magic,,,,47852924,Unlimited,spelltrap,
342,342,Dian Keto the Cure Master,,100,100,,Magic,,,,84257639,Unlimited,spelltrap,
343,343,Sparks,,0,0,,Magic,,,,76103675,Unlimited,spelltrap,
344,344,Hinotama,,5,5,,Magic,,,,46130346,Unlimited,spelltrap,
345,345,Final Flame,,15,15,,Magic,,,,73134081,Unlimited,spelltrap,
346,346,Ookazi,,50,50,,Magic,,,,19523799,Unlimited,spelltrap,
347,347,Tremendous Fire,,100,100,,Magic,,,,46918794,Unlimited,spelltrap,
348,348,Swords of Revealing Light,,300,300,,Magic,,,,72302403,Unlimited,spelltrap,
349,349,Spellbinding Circle,,180,180,,Magic,,,,18807108,Unlimited,spelltrap,
350,350,Dark-Piercing Light,,0,0,,Magic,,,,45895206,Unlimited,spelltrap,
351,351,Yaranzo,,183,183,Fiend,Zombie,4,1300,1500,71280811,Unlimited,monster,
352,352,Kanan the Swordmistress,,161,161,Earth,Warrior,4,1400,1400,12829151,Unlimited,monster,
353,353,Takriminos,,183,183,Water,Sea Serpent,4,1500,1200,44073668,Unlimited,monster,
354,354,Stuffed Animal,,121,121,Fiend,Warrior,3,1200,900,71068263,Unlimited,monster,
355,355,Megasonic Eye,,41,41,Fiend,Machine,5,1500,1800,07562372,Unlimited,monster,
356,356,Super War-Lion,,999,999,Divine,Beast,7,2300,2100,33951077,Unlimited,monster,
357,357,Yamadron,,999,999,Divine,Dragon,5,1600,1800,70345785,Unlimited,monster,
358,358,Seiyaryu,,20,20,Light,Dragon,7,2500,2300,06740720,Unlimited,monster,
359,359,Three-Legged Zombies,,103,103,Fiend,Zombie,3,1100,800,33734439,Unlimited,monster,
360,360,Zera The Mant,,999,999,Divine,Fiend,8,2800,2300,69123138,Unlimited,monster,
361,361,Flying Penguin,,121,121,Water,Aqua,4,1200,1000,05628232,Unlimited,monster,
362,362,Millennium Shield,,999,999,Divine,Warrior,5,0,3000,32012841,Unlimited,monster,
363,363,Fairy's Gift,,161,161,Forest,Spellcaster,4,1400,1000,68401546,Unlimited,monster,
364,364,Black Luster Soldier,,999,999,Divine,Warrior,8,3000,2500,05405694,Unlimited,monster,
365,365,Fiend's Mirror,,999,999,Divine,Fiend,6,2100,1800,31890399,Unlimited,monster,
366,366,Labyrinth Wall,,585,585,Earth,Rock,5,0,3000,67284908,Unlimited,monster,
367,367,Jirai Gumo,,384,384,Forest,Insect,4,2200,100,94773007,Unlimited,monster,
368,368,Shadow Ghoul,,14,14,Fiend,Zombie,5,1600,1300,30778711,Unlimited,monster,
369,369,Wall Shadow,,95,95,Fiend,Warrior,7,1600,3000,63162310,Unlimited,monster,
370,370,Labyrinth Tank,,12,12,Fiend,Machine,7,2400,2400,99551425,Unlimited,monster,
371,371,Sanga of the Thunder,,30,30,Thunder,Thunder,7,2600,2200,25955164,Unlimited,monster,
372,372,Kazejin,,12,12,Wind,Spellcaster,7,2400,2200,62340868,Unlimited,monster,
373,373,Suijin,,20,20,Water,Aqua,7,2500,2400,98434877,Unlimited,monster,
374,374,Gate Guardian,,999,999,Divine,Warrior,11,3750,3400,25833572,Unlimited,monster,
375,375,Dungeon Worm,,41,41,Earth,Insect,5,1800,1500,51228280,Unlimited,monster,
376,376,Monster Tamer,,41,41,Forest,Warrior,5,1800,1600,97612389,Unlimited,monster,
377,377,Ryu-Kishin Powered,,207,207,Fiend,Fiend,4,1600,1200,24611934,Unlimited,monster,
378,378,Swordstalker,,86,86,Fiend,Warrior,6,2000,1600,50005633,Unlimited,monster,
379,379,La Jinn the Mystical Genie of the Lamp,,260,260,Dark,Fiend,4,1800,1000,97590747,Unlimited,monster,
380,380,Blue-Eyes Ultimate Dragon,,999,999,Divine,Dragon,12,4500,3800,23995346,Unlimited,monster,
381,381,Toon Alligator,,207,207,Water,Reptile,4,800,1600,59383041,Unlimited,monster,
382,382,Rude Kaiser,,41,41,Earth,Beast-Warrior,5,1800,1600,26378150,Unlimited,monster,
383,383,Parrot Dragon,,86,86,Wind,Dragon,5,2000,1300,62762898,Unlimited,monster,
384,384,Dark Rabbit,,183,183,Fiend,Beast,4,1100,1500,99261403,Unlimited,monster,
385,385,Bickuribox,,6,6,Fiend,Fiend,7,2300,2000,25655502,Unlimited,monster,
386,386,Harpie's Pet Dragon,,20,20,Wind,Dragon,7,2000,2500,52040216,Unlimited,monster,
387,387,Mystic Lamp,,22,22,Dark,Spellcaster,1,400,300,98049915,Unlimited,monster,
388,388,Pendulum Machine,,86,86,Dark,Machine,6,1750,2000,24433920,Unlimited,monster,
389,389,Giltia the D. Knight,,50,50,Light,Warrior,5,1850,1500,51828629,Unlimited,monster,
390,390,Launcher Spider,,20,20,Fire,Machine,7,2200,2500,87322377,Unlimited,monster,
391,391,Zoa,,30,30,Fiend,Fiend,7,2600,1900,24311372,Unlimited,monster,
392,392,Metalzoa,,95,95,Fiend,Machine,8,3000,2300,50705071,Unlimited,monster,
393,393,Zone Eater,,14,14,Water,Aqua,1,250,200,86100785,Unlimited,monster,
394,394,Steel Scorpion,,16,16,Forest,Machine,1,250,300,13599884,Unlimited,monster,
395,395,Dancing Elf,,16,16,Forest,Fairy,1,300,200,59983499,Unlimited,monster,
396,396,Ocubeam,,19,19,Wind,Fairy,5,1550,1650,86088138,Unlimited,monster,
397,397,Leghul,,19,19,Forest,Insect,1,300,350,12472242,Unlimited,monster,
398,398,Ooguchi,,16,16,Water,Aqua,1,300,250,58861941,Unlimited,monster,
399,399,Gamma The Magnet Warrior,,260,260,Earth,Rock,4,1500,1800,11549357,Unlimited,monster,
400,400,Emperor of the Land and Sea,,41,41,Water,Reptile,5,1800,1500,11250655,Unlimited,monster,
401,401,Ushi Oni,,132,132,Forest,Fiend,6,2150,1950,48649353,Unlimited,monster,
402,402,Monster Eye,,19,19,Fiend,Fiend,1,250,350,84133008,Unlimited,monster,
403,403,Leogun,,32,32,Earth,Beast,5,1750,1550,10538007,Unlimited,monster,
404,404,Tatsunootoshigo,,14,14,Water,Beast,5,1350,1600,47922711,Unlimited,monster,
405,405,Saber Slasher,,7,7,Fiend,Machine,5,1450,1500,73911410,Unlimited,monster,
406,406,Kaiser Sea Horse,,233,233,Water,Sea Serpent,4,1700,1650,17444133,Unlimited,monster,
407,407,Machine King,,150,150,Fire,Machine,6,2200,2000,46700124,Unlimited,monster,
408,408,Giant Mech-Soldier,,61,61,Fiend,Machine,6,1750,1900,72299832,Unlimited,monster,
409,409,Metal Dragon,,50,50,Fire,Machine,6,1850,1700,09293977,Unlimited,monster,
410,410,Mechanical Spider,,29,29,Forest,Machine,2,400,500,45688586,Unlimited,monster,
411,411,Bat,,19,19,Fiend,Machine,1,300,350,72076281,Unlimited,monster,
412,412,The Winged Dragon of Ra (Phoenix Mode),,0,0,Divine,Pyro,12,4000,4000,51404976,Unlimited,monster,
413,413,Cyber Soldier,,25,25,Fiend,Machine,5,1500,1700,44865098,Unlimited,monster,
414,414,Shovel Crusher,,121,121,Earth,Machine,3,900,1200,71950093,Unlimited,monster,
415,415,Mechanicalchaser,,274,274,Fiend,Machine,4,1850,800,07359741,Unlimited,monster,
416,416,Blocker,,260,260,Fiend,Machine,4,850,1800,34743446,Unlimited,monster,
417,417,Blast Juggler,,72,72,Fire,Machine,3,800,900,70138455,Unlimited,monster,
418,418,Golgoil,,207,207,Dreams,Machine,4,900,1600,07526150,Unlimited,monster,
419,419,Flying Kamakiri #2,,183,183,Wind,Insect,4,1500,800,03134241,Unlimited,monster,
420,420,Cyber-Stein,,47,47,Fiend,Machine,2,700,500,69015963,Unlimited,monster,
421,421,Cyber Commander,,53,53,Fiend,Machine,2,750,700,06400512,Unlimited,monster,
422,422,Jinzo #7,,29,29,Fiend,Machine,2,500,400,32809211,Unlimited,monster,
423,423,Dice Armadillo,,41,41,Forest,Machine,5,1650,1800,69893315,Unlimited,monster,
424,424,Sky Dragon,,61,61,Wind,Dragon,6,1900,1800,95288024,Unlimited,monster,
425,425,Thunder Dragon,,14,14,Thunder,Thunder,5,1600,1500,31786629,Unlimited,monster,
426,426,Stone D.,,6,6,Earth,Rock,7,2000,2300,68171737,Unlimited,monster,
427,427,Kaiser Dragon,,6,6,Light,Dragon,7,2300,2000,94566432,Unlimited,monster,
428,428,Magician of Faith,,22,22,Light,Spellcaster,1,300,400,31560081,Unlimited,monster,
429,429,Goddess of Whim,,79,79,Light,Fairy,3,950,700,67959180,Unlimited,monster,
430,430,Gradius,,121,121,Dreams,Machine,4,1200,800,10992251,Unlimited,monster,
431,431,Ice Water,,112,112,Water,Aqua,3,1150,900,20848593,Unlimited,monster,
432,432,Waterdragon Fairy,,103,103,Water,Aqua,3,1100,700,66836598,Unlimited,monster,
433,433,Ancient Elf,,172,172,Light,Spellcaster,4,1450,1200,93221206,Unlimited,monster,
434,434,Harpie's Brother,,260,260,Wind,Winged Beast,4,1800,600,30532390,Unlimited,monster,
435,435,Aeris,,260,260,Earth,Fairy,4,1800,1400,54285230,Unlimited,monster,
436,436,White Dolphin,,29,29,Water,Fish,2,500,400,92409659,Unlimited,monster,
437,437,Deepsea Shark,,61,61,Water,Fish,5,1900,1600,28593363,Unlimited,monster,
438,438,Metal Fish,,61,61,Water,Machine,5,1600,1900,55998462,Unlimited,monster,
439,439,Grand Tiki Elder,,183,183,Dreams,Fiend,4,1500,800,13676474,Unlimited,monster,
440,440,7 Colored Fish,,260,260,Water,Fish,4,1800,800,23771716,Unlimited,monster,
441,441,Mech Bass,,41,41,Water,Machine,5,1800,1500,50176820,Unlimited,monster,
442,442,Aqua Dragon,,168,168,Water,Sea Serpent,6,2250,1900,86164529,Unlimited,monster,
443,443,Sea King Dragon,,86,86,Water,Sea Serpent,6,2000,1700,23659124,Unlimited,monster,
444,444,Turu-Purun,,29,29,Water,Aqua,2,450,500,59053232,Unlimited,monster,
445,445,Giant Rex,,319,319,Earth,Dinosaur,4,2000,1200,80280944,Unlimited,monster,
446,446,Aqua Snake,,95,95,Water,Aqua,3,1050,900,12436646,Unlimited,monster,
447,447,Giant Red Seasnake,,260,260,Water,Aqua,4,1800,800,58831685,Unlimited,monster,
448,448,Spike Seadra,,14,14,Thunder,Sea Serpent,5,1600,1300,85326399,Unlimited,monster,
449,449,"30,000-Year White Turtle",,116,116,Water,Aqua,5,1250,2100,11714098,Unlimited,monster,
450,450,Kappa Avenger,,121,121,Water,Aqua,3,1200,900,48109103,Unlimited,monster,
451,451,Kanikabuto,,72,72,Water,Aqua,3,650,900,84103702,Unlimited,monster,
452,452,Zarigun,,47,47,Water,Aqua,2,600,700,10598400,Unlimited,monster,
453,453,Millennium Golem,,150,150,Earth,Rock,6,2000,2200,47986555,Unlimited,monster,
454,454,Destroyer Golem,,183,183,Earth,Rock,4,1500,1000,73481154,Unlimited,monster,
455,455,Barrel Rock,,140,140,Earth,Rock,4,1000,1300,10476868,Unlimited,monster,
456,456,Minomushi Warrior,,140,140,Earth,Rock,4,1300,1200,46864967,Unlimited,monster,
457,457,The Masked Beast,,142,142,Fiend,Fiend,8,3200,1800,49064413,Unlimited,monster,
458,458,Kaminari Attack,,61,61,Thunder,Thunder,5,1900,1400,09653271,Unlimited,monster,
459,459,Tripwire Beast,,140,140,Thunder,Thunder,4,1200,1300,45042329,Unlimited,monster,
460,460,Bolt Escargot,,7,7,Thunder,Thunder,5,1400,1500,12146024,Unlimited,monster,
461,461,Bolt Penguin,,103,103,Thunder,Thunder,3,1100,800,48531733,Unlimited,monster,
462,462,The Immortal of Thunder,,183,183,Thunder,Thunder,4,1500,1300,84926738,Unlimited,monster,
463,463,Electric Snake,,72,72,Thunder,Thunder,3,800,900,11324436,Unlimited,monster,
464,464,Wing Eagle,,41,41,Wind,Winged Beast,5,1800,1500,47319141,Unlimited,monster,
465,465,Punished Eagle,,116,116,Wind,Winged Beast,6,2100,1800,74703140,Unlimited,monster,
466,466,Skull Red Bird,,195,195,Wind,Winged Beast,4,1550,1200,10202894,Unlimited,monster,
467,467,Crimson Sunbird,,188,188,Fire,Winged Beast,6,2300,1800,46696593,Unlimited,monster,
468,468,Queen Bird,,86,86,Wind,Winged Beast,5,1200,2000,73081602,Unlimited,monster,
469,469,Armed Ninja,,16,16,Water,Warrior,1,300,300,09076207,Unlimited,monster,
470,470,Magical Ghost,,161,161,Fiend,Zombie,4,1300,1400,46474915,Unlimited,monster,
471,471,Soul Hunter,,150,150,Fiend,Fiend,6,2200,1800,72869010,Unlimited,monster,
472,472,The Earl of Demise,,86,86,Dark,Fiend,5,2000,700,66989694,Unlimited,monster,
473,473,Vermillion Sparrow,,61,61,Fire,Pyro,5,1900,1500,35752363,Unlimited,monster,
474,474,Sea Kamen,,140,140,Water,Aqua,4,1100,1300,71746462,Unlimited,monster,
475,475,Sinister Serpent,,16,16,Water,Reptile,1,300,250,08131171,Unlimited,monster,
476,476,Ganigumo,,59,59,Forest,Insect,2,600,800,34536276,Unlimited,monster,
477,477,Alinsection,,79,79,Forest,Insect,3,950,700,70924884,Unlimited,monster,
478,478,Insect Soldiers of the Sky,,87,87,Wind,Insect,3,1000,800,07019529,Unlimited,monster,
479,479,Cockroach Knight,,72,72,Forest,Insect,3,800,900,33413638,Unlimited,monster,
480,480,Kuwagata A,,130,130,Forest,Insect,4,1250,1000,60802233,Unlimited,monster,
481,481,Burglar,,65,65,Forest,Beast,3,850,800,06297941,Unlimited,monster,
482,482,Pragtical,,61,61,Earth,Dinosaur,5,1900,1500,33691040,Unlimited,monster,
483,483,Garvas,,86,86,Forest,Beast,6,2000,1700,69780745,Unlimited,monster,
484,484,Ameba,,19,19,Water,Aqua,1,300,350,95174353,Unlimited,monster,
485,485,Korogashi,,33,33,Forest,Insect,2,550,400,32569498,Unlimited,monster,
486,486,Boo Koo,,42,42,Light,Spellcaster,2,650,500,68963107,Unlimited,monster,
487,487,Flower Wolf,,41,41,Forest,Beast,5,1800,1400,95952802,Unlimited,monster,
488,488,Rainbow Flower,,29,29,Forest,Plant,2,400,500,21347810,Unlimited,monster,
489,489,Barrel Lily,,103,103,Forest,Plant,3,1100,600,67841515,Unlimited,monster,
490,490,Needle Ball,,53,53,Fiend,Fiend,2,750,700,94230224,Unlimited,monster,
491,491,Peacock,,25,25,Forest,Winged Beast,5,1700,1500,20624263,Unlimited,monster,
492,492,Hoshiningen,,47,47,Light,Fairy,2,500,700,67629977,Unlimited,monster,
493,493,Maha Vailo,,195,195,Light,Spellcaster,4,1550,1400,93013676,Unlimited,monster,
494,494,Rainbow Marine Mermaid,,25,25,Water,Fish,5,1550,1700,29402771,Unlimited,monster,
495,495,Musician King,,32,32,Light,Spellcaster,5,1750,1500,56907389,Unlimited,monster,
496,496,Wilmee,,121,121,Forest,Beast,4,1000,1200,92391084,Unlimited,monster,
497,497,Yado Karu,,233,233,Water,Aqua,4,900,1700,29380133,Unlimited,monster,
498,498,Morinphen,,10,10,Fiend,Fiend,5,1550,1300,55784832,Unlimited,monster,
499,499,Boneheimer,,65,65,Water,Aqua,3,850,400,98456117,Unlimited,monster,
500,500,Dragon Seeker,,116,116,Fiend,Fiend,6,2000,2100,28563545,Unlimited,monster,
501,501,Man-Eater Bug,,37,37,Forest,Insect,2,450,600,54652250,Unlimited,monster,
502,502,Penguin Torpedo,,19,19,Water,Aqua,3,350,300,17679043,Unlimited,monster,
503,503,Turtle Raccoon,,72,72,Forest,Aqua,3,700,900,17441953,Unlimited,monster,
504,504,Flame Dancer,,33,33,Fire,Pyro,2,550,450,12883044,Unlimited,monster,
505,505,Prisman,,87,87,Earth,Rock,3,800,1000,80234301,Unlimited,monster,
506,506,Gale Dogra,,42,42,Forest,Insect,2,650,600,16229315,Unlimited,monster,
507,507,Crazy Fish,,207,207,Water,Fish,4,1600,1200,53713014,Unlimited,monster,
508,508,Cyber Saurus,,41,41,Earth,Machine,5,1800,1400,89112729,Unlimited,monster,
509,509,Bracchio-raidus,,150,150,Earth,Dinosaur,6,2200,2000,16507828,Unlimited,monster,
510,510,Laughing Flower,,72,72,Forest,Plant,2,900,500,42591472,Unlimited,monster,
511,511,Bean Soldier,,161,161,Forest,Plant,4,1400,1300,84990171,Unlimited,monster,
512,512,Cannon Soldier,,161,161,Fiend,Machine,4,1400,1300,11384280,Unlimited,monster,
513,513,Guardian of the Throne Room,,220,220,Light,Machine,4,1650,1600,47879985,Unlimited,monster,
514,514,Asura Priest,,233,233,Dreams,Fairy,4,1700,1200,02134346,Unlimited,monster,
515,515,The Statue of Easter Island,,161,161,Earth,Rock,4,1100,1400,10262698,Unlimited,monster,
516,516,Muka Muka,,37,37,Earth,Rock,2,600,300,46657337,Unlimited,monster,
517,517,Zombyra the Dark,,350,350,Dark,Warrior,4,2100,500,88472456,Unlimited,monster,
518,518,Boulder Tortoise,,150,150,Earth,Aqua,6,1450,2200,09540040,Unlimited,monster,
519,519,Fire Kraken,,207,207,Fire,Aqua,4,1600,1500,46534755,Unlimited,monster,
520,520,Turtle Bird,,61,61,Wind,Aqua,6,1900,1700,72929454,Unlimited,monster,
521,521,Skullbird,,61,61,Wind,Winged Beast,6,1900,1700,08327462,Unlimited,monster,
522,522,Monstrous Bird,,86,86,Wind,Winged Beast,6,2000,1900,35712107,Unlimited,monster,
523,523,The Bistro Butcher,,260,260,Fiend,Fiend,4,1800,1000,71107816,Unlimited,monster,
524,524,Star Boy,,33,33,Water,Aqua,2,550,500,08201910,Unlimited,monster,
525,525,Spirit of the Mountain,,41,41,Earth,Spellcaster,5,1300,1800,34690519,Unlimited,monster,
526,526,Earthbound Spirit,,319,319,Earth,Fiend,4,500,2000,67105242,Unlimited,monster,
527,527,Milus Radiant,,16,16,Forest,Beast,1,300,250,07489323,Unlimited,monster,
528,528,Togex,,41,41,Earth,Beast,5,1600,1800,33878931,Unlimited,monster,
529,529,Flame Cerebrus,,116,116,Forest,Pyro,6,2100,1800,60862676,Unlimited,monster,
530,530,Embodiment of Apophis,,260,260,Earth,Reptile,4,1600,1800,28649820,Unlimited,monster,
531,531,Mystical Sand,,116,116,Dark,Rock,6,2100,1700,32751480,Unlimited,monster,
532,532,Gemini Elf,,289,289,Light,Spellcaster,4,1900,900,69140098,Unlimited,monster,
533,533,Kwagar Hercules,,61,61,Forest,Insect,6,1900,1700,95144193,Unlimited,monster,
534,534,Minar,,65,65,Fiend,Insect,3,850,750,32539892,Unlimited,monster,
535,535,Ancient Lamp,,161,161,Wind,Spellcaster,3,900,1400,54912977,Unlimited,monster,
536,536,Mechaleon,,59,59,Water,Reptile,2,800,600,94412545,Unlimited,monster,
537,537,Mega Thunderball,,53,53,Thunder,Thunder,2,750,600,21817254,Unlimited,monster,
538,538,Niwatori,,72,72,Forest,Winged Beast,3,900,800,07805359,Unlimited,monster,
539,539,Amazon Chain Master,,183,183,Earth,Warrior,4,1500,1300,29654737,Unlimited,monster,
540,540,Skelengel,,72,72,Light,Fairy,2,900,400,60694662,Unlimited,monster,
541,541,Hane-Hane,,29,29,Wind,Beast,2,450,500,07089711,Unlimited,monster,
542,542,Misairuzame,,14,14,Water,Fish,5,1400,1600,33178416,Unlimited,monster,
543,543,Thunder Nyan Nyan,,289,289,Light,Thunder,4,1900,800,70797118,Unlimited,monster,
544,544,Dharma Cannon,,72,72,Fiend,Machine,2,900,500,96967123,Unlimited,monster,
545,545,Skelgon,,61,61,Fiend,Zombie,6,1700,1900,32355828,Unlimited,monster,
546,546,Wow Warrior,,130,130,Water,Fish,4,1250,900,69750536,Unlimited,monster,
547,547,Griggle,,19,19,Forest,Plant,1,350,300,95744531,Unlimited,monster,
548,548,Bone Mouse,,22,22,Fiend,Zombie,1,400,300,21239280,Unlimited,monster,
549,549,Frog the Jam,,47,47,Water,Aqua,2,700,500,68638985,Unlimited,monster,
550,550,Last Tusk Mammoth,,121,121,Water,Dinosaur,3,800,1200,43063758,Unlimited,monster,
551,551,Dark Elf,,319,319,Dark,Spellcaster,4,2000,800,21417692,Unlimited,monster,
552,552,"Winged Dragon, Guardian of the Fortress #2",,121,121,Wind,Winged Beast,4,1200,1000,57405307,Unlimited,monster,
553,553,Mushroom Man #2,,130,130,Forest,Warrior,3,1250,800,93900406,Unlimited,monster,
554,554,Lava Battleguard,,41,41,Dark,Warrior,5,1550,1800,20394040,Unlimited,monster,
555,555,Queen's Knight,,207,207,Light,Warrior,4,1500,1600,25652259,Unlimited,monster,
556,556,Injection Fairy Lily,,183,183,Earth,Spellcaster,3,400,1500,79575620,Unlimited,monster,
557,557,Jack's Knight,,61,61,Light,Warrior,5,1900,1000,90876561,Unlimited,monster,
558,558,Pot the Trick,,22,22,Fiend,Rock,2,400,400,55567161,Unlimited,monster,
559,559,Oscillo Hero,,130,130,Dreams,Warrior,3,1250,700,82065276,Unlimited,monster,
560,560,Invader from Another Dimension,,161,161,Dreams,Fiend,4,950,1400,28450915,Unlimited,monster,
561,561,Lesser Dragon,,121,121,Fiend,Dragon,4,1200,1000,55444629,Unlimited,monster,
562,562,Needle Worm,,53,53,Forest,Insect,2,750,600,81843628,Unlimited,monster,
563,563,King's Knight,,207,207,Light,Warrior,4,1600,1400,64788463,Unlimited,monster,
564,564,Great Mammoth of Goldfine,,150,150,Fiend,Zombie,6,2200,1800,54622031,Unlimited,monster,
565,565,Gil Garth,,260,260,Fiend,Fiend,4,1800,1200,38445524,Unlimited,monster,
566,566,Yormungarde,,121,121,Water,Reptile,3,1200,900,17115745,Unlimited,monster,
567,567,Darkworld Thorns,,121,121,Fiend,Plant,3,1200,900,43500484,Unlimited,monster,
568,568,Blade Knight,,207,207,Earth,Warrior,4,1600,1000,39507162,Unlimited,monster,
569,569,Gernia,,140,140,Fiend,Fiend,4,1300,1200,77936940,Unlimited,monster,
570,570,Trakadon,,140,140,Earth,Dinosaur,3,1300,800,42348802,Unlimited,monster,
571,571,B. Dragon Jungle King,,116,116,Forest,Dragon,6,2100,1800,89832901,Unlimited,monster,
572,572,Empress Judge,,116,116,Earth,Warrior,6,2100,1700,15237615,Unlimited,monster,
573,573,Little D,,103,103,Earth,Dinosaur,3,1100,700,42625254,Unlimited,monster,
574,574,Witch of the Black Forest,,121,121,Dark,Spellcaster,4,1100,1200,78010363,Unlimited,monster,
575,575,Y-Dragon Head,,207,207,Fire,Machine,4,1500,1600,65622692,Unlimited,monster,
576,576,Giant Scorpion of the Tundra,,103,103,Forest,Insect,3,1100,1000,41403766,Unlimited,monster,
577,577,Crow Goblin,,50,50,Wind,Winged Beast,5,1850,1600,77998771,Unlimited,monster,
578,578,Dark Magician Knight,,20,20,Dark,Warrior,7,2500,2100,50725996,Unlimited,monster,
579,579,Abyss Flower,,53,53,Forest,Plant,2,750,400,40387124,Unlimited,monster,
580,580,Patrol Robo,,103,103,Fiend,Machine,3,1100,900,76775123,Unlimited,monster,
581,581,Takuhee,,172,172,Wind,Winged Beast,4,1450,1000,03170832,Unlimited,monster,
582,582,Dark Witch,,41,41,Light,Fairy,5,1800,1700,35565537,Unlimited,monster,
